,baseline,prof.off,prof.on,reorder.off,reorder.on,Reorder-baseline,Profiling-baseline
Total,159.7,159.9,160.7,160.8,160.8,0.7,0.6
3d,26.3,26.3,26.5,26.5,26.5,0.8,0.8
cube,10.9,10.9,11,11,11.1,1.8,0.9
morph,4.4,4.4,4.4,4.4,4.4,0.0,0.0
raytrace,11,11.1,11.1,11.1,11.1,0.9,0.9
access,12.7,12.7,12.8,12.9,13,2.4,0.8
binary-trees,2.2,2.2,2.3,2.3,2.3,4.5,4.5
fannkuch,5.3,5.4,5.4,5.4,5.5,3.8,1.9
nbody,2.8,2.8,2.8,2.8,2.8,0.0,0.0
nsieve,2.4,2.3,2.4,2.4,2.4,0.0,0.0
bitops,7.9,7.8,7.9,8,7.9,0.0,0.0
3bit-bits-in-byte,1,1,1,1,1,0.0,0.0
bits-in-byte,2.1,2.1,2.1,2.1,2.1,0.0,0.0
bitwise-and,1.7,1.7,1.7,1.7,1.8,5.9,0.0
nsieve-bits,3.1,3.1,3.1,3.2,3.1,0.0,0.0
controlflow,2,2,2,2,2,0.0,0.0
recursive,2,2,2,2,2,0.0,0.0
crypto,13.6,13.5,13.6,13.6,13.6,0.0,0.0
aes,6.7,6.7,6.8,6.8,6.8,1.5,1.5
md5,3.9,3.9,3.9,3.8,3.8,-2.6,0.0
sha1,3,3,3,3,3,0.0,0.0
date,20.9,20.9,21,21,20.9,0.0,0.5
format-tofte,10.5,10.6,10.6,10.6,10.5,0.0,1.0
format-xparb,10.4,10.3,10.4,10.4,10.4,0.0,0.0
math,13.5,13.6,13.6,13.5,13.6,0.7,0.7
cordic,2.5,2.5,2.5,2.5,2.6,4.0,0.0
partial-sums,9,9,9,9,9,0.0,0.0
spectral-norm,2,2,2.1,2,2.1,5.0,5.0
regexp,13.6,13.6,13.6,13.6,13.6,0.0,0.0
dna,13.6,13.6,13.6,13.6,13.6,0.0,0.0
string,49.2,49.4,49.6,49.7,49.7,1.0,0.8
base64,4.9,4.9,5,5,5,2.0,2.0
fasta,5.7,5.7,5.7,5.7,5.7,0.0,0.0
tagcloud,14.2,14.3,14.4,14.3,14.3,0.7,1.4
