Octane,Baseline,Prof.on,Reorder.on,Reorder-baseline,Prof-baseline
Score,18792.9,18809.2,17557,6.58,-0.09
Box2D,21875.4,22411.4,14437.8,34.00,-2.45
CodeLoad,19847,20374.7,19849.2,-0.01,-2.66
Crypto,22102.4,22046.2,19702.2,10.86,0.25
DeltaBlue,21462.5,21432.9,21492.4,-0.14,0.14
EarleyBoyer,21957.9,21932,21917,0.19,0.12
Gameboy,37572.2,37354,34203.8,8.97,0.58
Mandreel,23127.9,23247.9,23360.4,-1.01,-0.52
NavierStokes,26161.8,26163.6,26206.4,-0.17,-0.01
PdfJS,12489.3,12175,12094.8,3.16,2.52
RayTrace,26901.4,26888.4,20812.6,22.63,0.05
RegExp,3326.1,3399.5,3342.7,-0.50,-2.21
Richards,20802.8,20841.9,20614.9,0.90,-0.19
Splay,15345.1,14930.8,15686.6,-2.23,2.70
