,baseline,kraken.50.reorder.on,
Total,1162.4,1155.2,-0.62
ai,94.3,93.2,-1.17
astar,94.3,93.2,-1.17
audio,388.5,379.2,-2.39
beat-detection,85.6,83,-3.04
dft,145,142.8,-1.52
fft,59.6,56,-6.04
oscillator,98.4,97.4,-1.02
imaging,306.2,301.2,-1.63
gaussian-blur,104.8,107.1,2.19
darkroom,127.4,119.8,-5.97
desaturate,73.9,74.3,0.54
json,72,73,1.39
parse-financial,36.5,36.4,-0.27
stringify-tinderbox,35.5,36.5,2.82
stanford,301.4,308.5,2.36
crypto-aes,79,78.5,-0.63
crypto-ccm,79.7,80.4,0.88
crypto-pbkdf2,93.5,91.9,-1.71
crypto-sha256-iterative,49.2,57.8,17.48
